Date, Close/Last, Volume, Open, High, Low
08/21/2020, $1580.42, 1446453, $1577.03, $1597.72, $1568.005
08/20/2020, $1581.75, 1706877, $1543.45, $1585.87, $1538.2
08/19/2020, $1547.53, 1660611, $1553.31, $1573.68, $1543.95
08/18/2020, $1558.6, 2027086, $1526.18, $1562.47, $1523.71
08/17/2020, $1517.98, 1378600, $1514.67, $1525.61, $1507.97
08/14/2020, $1507.73, 1355200, $1515.66, $1521.9, $1502.88
08/13/2020, $1518.45, 1455208, $1510.34, $1537.25, $1508.005
08/12/2020, $1506.62, 1437655, $1485.58, $1512.3859, $1485.25
08/11/2020, $1480.32, 1454365, $1492.44, $1510, $1478
08/10/2020, $1496.1, 1289530, $1487.18, $1504.075, $1473.08
08/07/2020, $1494.49, 1577826, $1500, $1516.845, $1481.64
08/06/2020, $1500.1, 1995368, $1471.75, $1502.39, $1466
08/05/2020, $1473.61, 1979957, $1469.3, $1482.41, $1463.46
08/04/2020, $1464.97, 1903489, $1476.57, $1485.56, $1458.65
08/03/2020, $1474.45, 2331514, $1486.64, $1490.47, $1465.64
07/31/2020, $1482.96, 3429036, $1505.01, $1508.95, $1454.03
07/30/2020, $1531.45, 1671396, $1497, $1537.87, $1492.22
07/29/2020, $1522.02, 1106534, $1506.32, $1531.2522, $1501.33
07/28/2020, $1500.34, 1702174, $1525.18, $1526.48, $1497.66
07/27/2020, $1530.2, 1245980, $1515.6, $1540.97, $1515.21
07/24/2020, $1511.87, 1544404, $1498.93, $1517.6362, $1488.4
